date,order_id,amount
2026-08-02,ORD-41001,504.00
2026-08-03,ORD-41002,265.12
2026-08-03,ORD-41003,69.38
2026-08-03,ORD-41004,123.65
2026-08-04,ORD-41005,336.32
2026-08-04,ORD-41006,675.69
2026-08-04,ORD-41007,286.46
2026-08-05,ORD-41008,853.30
2026-08-05,ORD-41009,51.70
2026-08-05,ORD-41010,613.79
2026-08-05,ORD-41011,650.84
2026-08-05,ORD-41012,605.92
2026-08-06,ORD-41013,660.78
2026-08-06,ORD-41014,763.20
2026-08-06,ORD-41015,263.96
2026-08-06,ORD-41016,539.80
2026-08-06,ORD-41017,129.39
2026-08-07,ORD-41018,318.94
2026-08-07,ORD-41019,38.20
2026-08-07,ORD-41020,361.65
2026-08-07,ORD-41021,693.80
2026-08-07,ORD-41022,546.33
2026-08-08,ORD-41023,508.86
2026-08-09,ORD-41024,161.06
2026-08-09,ORD-41025,880.95
2026-08-10,ORD-41026,139.35
2026-08-10,ORD-41027,94.69
2026-08-10,ORD-41028,518.42
2026-08-10,ORD-41029,824.86
2026-08-11,ORD-41030,153.20
2026-08-11,ORD-41031,878.18
2026-08-11,ORD-41032,88.09
2026-08-11,ORD-41033,455.59
2026-08-11,ORD-41034,319.25
2026-08-12,ORD-41035,664.18
2026-08-12,ORD-41036,863.60
2026-08-13,ORD-41037,284.52
2026-08-13,ORD-41038,774.23
2026-08-13,ORD-41039,198.30
2026-08-13,ORD-41040,807.23
2026-08-13,ORD-41041,96.37
2026-08-13,ORD-41042,719.41
2026-08-14,ORD-41043,652.50
2026-08-14,ORD-41044,266.08
2026-08-16,ORD-41045,610.03
2026-08-16,ORD-41046,777.94
2026-08-17,ORD-41047,386.41
2026-08-17,ORD-41048,742.49
2026-08-17,ORD-41049,479.52
2026-08-17,ORD-41050,570.52
2026-08-17,ORD-41051,188.91
2026-08-18,ORD-41052,800.15
2026-08-18,ORD-41053,139.94
2026-08-18,ORD-41054,709.05
2026-08-19,ORD-41055,479.96
2026-08-19,ORD-41056,855.98
2026-08-19,ORD-41057,660.32
2026-08-19,ORD-41058,672.10
2026-08-20,ORD-41059,271.06
2026-08-20,ORD-41060,416.73
2026-08-20,ORD-41061,208.81
2026-08-20,ORD-41062,478.27
2026-08-20,ORD-41063,705.00
2026-08-20,ORD-41064,384.70
2026-08-21,ORD-41065,873.21
2026-08-21,ORD-41066,105.61
2026-08-21,ORD-41067,677.08
2026-08-21,ORD-41068,726.25
2026-08-21,ORD-41069,300.29
2026-08-21,ORD-41070,463.15
2026-08-24,ORD-41071,461.88
2026-08-24,ORD-41072,300.08
2026-08-24,ORD-41073,361.75
2026-08-24,ORD-41074,56.11
2026-08-25,ORD-41075,345.93
2026-08-25,ORD-41076,506.04
2026-08-25,ORD-41077,403.05
2026-08-25,ORD-41078,558.46
2026-08-25,ORD-41079,241.70
2026-08-26,ORD-41080,164.38
2026-08-26,ORD-41081,229.81
2026-08-26,ORD-41082,881.23
2026-08-26,ORD-41083,45.59
2026-08-26,ORD-41084,276.51
2026-08-27,ORD-41085,405.27
2026-08-27,ORD-41086,164.67
2026-08-27,ORD-41087,29.32
2026-08-28,ORD-41088,460.02
2026-08-28,ORD-41089,235.02
2026-08-28,ORD-41090,757.96
2026-08-28,ORD-41091,582.95
2026-08-28,ORD-41092,315.71
2026-08-30,ORD-41093,751.24
2026-08-31,ORD-41094,312.25
2026-08-31,ORD-41095,418.00
2026-08-31,ORD-41096,245.75
2026-08-31,ORD-41097,264.50
